cnpj,empresa,status_reclamacao,tempo_resposta_dias,avaliacao_consumidor,data_reclamacao
54.072.183/0001-80,Nascimento,Resolvida,29,3,2024-07-31
03.215.879/0001-87,Rios S.A.,Não Resolvida,21,2,2025-01-26
60.732.958/0001-07,Almeida,Resolvida,11,3,2025-04-17
91.563.072/0001-00,Farias,Não Resolvida,4,3,2025-11-16
19.627.054/0001-00,Costela Ltda.,Resolvida,2,4,2024-12-09
97.356.084/0001-32,Jesus Silva Ltda.,Não Resolvida,2,4,2025-03-22
76.089.542/0001-44,Oliveira Ltda.,Resolvida,12,2,2024-05-12
23.706.489/0001-17,Macedo Cavalcanti e Filhos,Resolvida,12,1,2024-07-25
63.928.450/0001-69,Cunha Lima S.A.,Resolvida,27,2,2025-05-07
05.926.174/0001-01,Rodrigues Ltda.,Resolvida,28,3,2024-09-20
58.234.791/0001-02,Monteiro Marques - ME,Resolvida,20,1,2026-01-24
35.712.986/0001-07,Mendes,Resolvida,19,5,2025-07-27
76.520.381/0001-00,Fogaça,Resolvida,18,4,2025-07-20
59.804.672/0001-00,Cunha,Não Resolvida,14,2,2025-09-02
19.865.234/0001-20,Albuquerque - ME,Resolvida,26,5,2025-05-07
92.318.476/0001-93,Rios,Resolvida,28,4,2024-06-07
41.365.729/0001-49,Camargo,Resolvida,29,3,2024-03-04
54.190.867/0001-86,Alves,Não Resolvida,4,2,2024-01-27
63.179.042/0001-51,Cardoso,Resolvida,2,2,2024-03-06
63.508.247/0001-33,Rios Nogueira Ltda.,Resolvida,29,2,2024-10-07
78.513.962/0001-31,Pires - EI,Não Resolvida,2,2,2024-11-11
03.285.419/0001-25,Pastor e Filhos,Não Resolvida,14,4,2025-09-08
60.317.854/0001-28,Vasconcelos Rios - EI,Resolvida,8,5,2025-08-07
71.826.340/0001-14,Rios Vasconcelos Ltda.,Resolvida,18,5,2025-02-22
16.873.429/0001-23,Melo,Resolvida,25,4,2024-07-25
63.945.178/0001-25,Aragão Ltda.,Resolvida,13,1,2024-04-20
79.425.608/0001-18,Castro,Resolvida,13,1,2024-12-06
31.984.205/0001-82,Brito da Cunha S/A,Resolvida,9,1,2026-01-12
72.456.803/0001-66,Vasconcelos - ME,Resolvida,24,3,2025-09-08
42.590.631/0001-58,Castro Pimenta S.A.,Resolvida,8,3,2025-08-08
45.083.796/0001-21,da Paz Lima S/A,Não Resolvida,27,5,2024-02-10
62.103.579/0001-75,das Neves da Cruz e Filhos,Não Resolvida,26,1,2025-07-01
32.764.180/0001-74,da Mota,Não Resolvida,9,4,2024-07-25
68.479.521/0001-07,Lima,Resolvida,16,5,2025-12-04
60.459.813/0001-76,Caldeira,Resolvida,8,3,2024-12-23
52.468.019/0001-60,Nunes - EI,Resolvida,3,5,2024-12-14
96.835.270/0001-91,Gonçalves,Não Resolvida,3,1,2025-11-19
06.159.234/0001-62,Jesus Ltda.,Resolvida,23,3,2025-05-06
01.427.895/0001-08,Barros - EI,Resolvida,15,2,2024-09-30
69.240.183/0001-19,da Mota,Resolvida,13,3,2024-09-01
20.853.196/0001-74,Nascimento S/A,Resolvida,7,1,2025-09-23
24.980.635/0001-60,Araújo,Resolvida,4,5,2025-05-19
82.176.549/0001-04,Cardoso S/A,Resolvida,13,3,2025-07-23
85.961.204/0001-41,Farias Aparecida e Filhos,Resolvida,13,3,2024-09-14
02.156.379/0001-59,Cirino,Resolvida,28,2,2025-09-01
47.529.861/0001-25,Jesus,Resolvida,25,5,2025-04-04
