supplier_id,data_id,atraso_medio,perc_reclamacoes_abertas,score_confiabilidade,classificacao_risco
100000000001,2025-03-01,0.5,0.45,86.72,Confiável
100000000001,2025-04-01,0.1,0.53,88.53,Confiável
100000000001,2025-05-01,1.8,0.96,83.38,Atenção
100000000001,2025-06-01,0.5,0.26,86.86,Confiável
100000000001,2025-07-01,1.1,0.61,85.06,Confiável
100000000001,2025-08-01,0.5,0.52,86.55,Confiável
100000000001,2025-09-01,1.4,0.54,82.71,Atenção
100000000001,2025-10-01,1.9,0.46,84.16,Atenção
100000000001,2025-11-01,1.1,0.81,84.4,Atenção
100000000001,2025-12-01,0.5,0.76,88.38,Confiável
100000000001,2026-01-01,1.8,0.24,84.89,Atenção
100000000001,2026-02-01,1.8,0.11,83.62,Atenção
100000000002,2025-03-01,9.3,14.52,40.0,Alto Risco
100000000002,2025-04-01,8.3,9.75,40.0,Alto Risco
100000000002,2025-05-01,9.2,8.03,40.0,Alto Risco
100000000002,2025-06-01,7.7,12.58,40.0,Alto Risco
100000000002,2025-07-01,14.9,7.49,40.0,Alto Risco
100000000002,2025-08-01,11.5,18.35,40.0,Alto Risco
100000000002,2025-09-01,8.5,13.11,40.0,Alto Risco
100000000002,2025-10-01,10.7,17.42,40.0,Alto Risco
100000000002,2025-11-01,12.7,8.6,40.0,Alto Risco
100000000002,2025-12-01,12.2,17.62,40.0,Alto Risco
100000000002,2026-01-01,12.1,9.88,40.0,Alto Risco
100000000002,2026-02-01,8.8,14.64,40.0,Alto Risco
100000000003,2025-03-01,3.1,4.75,62.27,Alto Risco
100000000003,2025-04-01,3.8,3.24,63.17,Alto Risco
100000000003,2025-05-01,4.4,2.52,61.26,Alto Risco
100000000003,2025-06-01,5.2,4.43,54.21,Alto Risco
100000000003,2025-07-01,5.3,4.85,57.02,Alto Risco
100000000003,2025-08-01,5.6,3.16,56.33,Alto Risco
100000000003,2025-09-01,3.0,3.39,65.53,Alto Risco
100000000003,2025-10-01,5.7,3.37,55.06,Alto Risco
100000000003,2025-11-01,3.2,1.14,65.52,Alto Risco
100000000003,2025-12-01,4.8,4.64,56.86,Alto Risco
100000000003,2026-01-01,5.6,2.72,61.08,Alto Risco
100000000003,2026-02-01,5.7,3.53,55.88,Alto Risco
100000000004,2025-03-01,0.2,0.65,91.31,Confiável
100000000004,2025-04-01,1.3,0.36,92.49,Confiável
100000000004,2025-05-01,0.3,0.33,88.61,Confiável
100000000004,2025-06-01,0.4,0.01,93.39,Confiável
100000000004,2025-07-01,0.2,0.57,91.03,Confiável
100000000004,2025-08-01,0.2,0.35,93.2,Confiável
100000000004,2025-09-01,1.0,0.13,86.61,Confiável
100000000004,2025-10-01,1.8,0.31,84.66,Atenção
100000000004,2025-11-01,1.6,0.05,91.94,Confiável
100000000004,2025-12-01,0.2,0.37,93.48,Confiável
100000000004,2026-01-01,1.5,0.35,86.34,Confiável
100000000004,2026-02-01,1.2,0.91,91.13,Confiável
100000000005,2025-03-01,0.1,0.01,98.0,Confiável
100000000005,2025-04-01,0.1,0.34,91.26,Confiável
100000000005,2025-05-01,1.7,0.67,87.1,Confiável
100000000005,2025-06-01,1.6,0.92,90.29,Confiável
100000000005,2025-07-01,1.2,0.71,88.38,Confiável
100000000005,2025-08-01,0.3,0.15,89.65,Confiável
