cnpj,cnae,porte_empresa,situacao_cadastral
07816239000183,8270,Média,Ativa
97653248000193,6191,EPP,Ativa
57146832000138,1466,ME,Ativa
58967104000150,9322,ME,Inativa
46185203000109,7949,ME,Inativa
80123745000187,2184,ME,Ativa
72163094000120,9666,EPP,Ativa
35874169000155,3747,ME,Ativa
70138954000140,3734,EPP,Ativa
43852169000182,2267,EPP,Ativa
57423098000107,4890,EPP,Ativa
96012348000178,6393,Grande,Inativa
47816092000146,9433,ME,Ativa
19640257000136,8041,EPP,Ativa
39157628000130,1775,ME,Inativa
97058263000193,2585,EPP,Ativa
28031796000169,4843,ME,Inativa
90628143000135,7873,EPP,Ativa
47031659000179,1995,EPP,Inativa
20143586000150,8629,ME,Ativa
16859302000150,7439,Média,Ativa
57601324000100,1878,Média,Ativa
92384761000102,5859,EPP,Ativa
21975346000185,6276,Média,Ativa
65419270000187,9006,EPP,Ativa
91652830000159,3695,ME,Ativa
28695047000136,7736,Média,Ativa
64793058000112,6892,Grande,Ativa
71468095000110,4099,Média,Ativa
46793218000141,4104,ME,Ativa
41986372000116,9996,Média,Ativa
14683075000129,9154,EPP,Ativa
02965138000150,9110,Média,Ativa
03912648000122,8385,ME,Ativa
59017863000114,7938,EPP,Ativa
87142309000102,8721,EPP,Ativa
93247651000161,1863,EPP,Ativa
81924750000151,7019,Grande,Ativa
80426397000117,7892,EPP,Ativa
24698751000191,7668,ME,Ativa
71503286000176,4157,Média,Ativa
95032184000188,3693,EPP,Ativa
34615029000108,6450,ME,Ativa
92431865000120,6592,ME,Ativa
04853971000135,2306,EPP,Ativa
34721580000128,6864,ME,Ativa
43215980000152,6530,EPP,Ativa
25407963000135,1663,Grande,Ativa
64315897000125,2495,Média,Ativa
76842913000117,7585,Grande,Ativa
53486902000146,8554,ME,Ativa
73850194000198,1698,EPP,Ativa
20196485000148,1854,ME,Inativa
15289740000167,6249,EPP,Ativa
05124689000180,6535,EPP,Ativa
92847153000197,5218,ME,Ativa
40523861000179,9004,EPP,Ativa
71946283000107,2930,Média,Ativa
64730985000193,5282,ME,Ativa
37256184000165,1659,ME,Ativa
08651943000196,2986,Média,Ativa
12658307000163,2734,ME,Ativa
87694130000150,6759,EPP,Ativa
97453860000112,2802,ME,Ativa
72845316000195,6534,Média,Ativa
18475260000189,7287,Média,Ativa
84752931000136,3049,Grande,Inativa
69547182000111,5548,Grande,Ativa
43690175000180,8400,ME,Ativa
92460713000156,2154,Média,Ativa
80326157000140,2648,ME,Ativa
24980537000123,9445,ME,Ativa
45128679000137,1098,Grande,Ativa
90523178000100,5973,EPP,Ativa
39541276000112,1956,ME,Ativa
61520479000181,7944,EPP,Ativa
47562390000157,7015,Média,Ativa
54630827000108,5735,EPP,Ativa
39081426000152,9050,EPP,Ativa
16450832000140,2693,Grande,Ativa
28746590000115,6895,EPP,Ativa
85716430000167,5893,EPP,Ativa
31920785000144,6600,ME,Ativa
90356148000156,8683,ME,Ativa
62943175000190,9208,Grande,Ativa
40531927000172,2069,Grande,Ativa
35926017000159,2060,Grande,Ativa
18430295000100,1606,Grande,Ativa
83192504000188,1190,ME,Ativa
87396421000161,2184,ME,Ativa
58217340000159,2816,ME,Ativa
86371052000190,6442,EPP,Ativa
79823506000150,8455,EPP,Ativa
62508743000124,8806,EPP,Ativa
03817695000197,1784,Média,Ativa
58146327000156,8343,EPP,Ativa
87690134000160,1537,Média,Ativa
06931845000187,9716,ME,Ativa
61703895000115,5780,ME,Ativa
62495108000150,9173,Média,Ativa
85371649000171,7614,ME,Ativa
72341856000131,6919,EPP,Ativa
01978236000160,4769,EPP,Ativa
59431762000195,7457,Média,Ativa
05976213000177,5777,Média,Ativa
17695304000113,3491,ME,Ativa
18435902000116,6691,ME,Ativa
61730948000197,6315,Média,Ativa
86259104000130,5142,EPP,Ativa
16209534000162,7799,Grande,Ativa
13540276000104,2693,ME,Ativa
40129653000190,6177,ME,Ativa
93806175000171,9308,ME,Ativa
37461582000113,2931,EPP,Ativa
43605192000172,1512,EPP,Ativa
35918046000179,6237,Média,Ativa
85961402000105,4343,EPP,Ativa
79321468000138,1580,EPP,Ativa
75429861000199,4147,EPP,Ativa
20461398000170,8253,ME,Ativa
15287430000103,6188,ME,Ativa
73690284000169,7617,EPP,Ativa
76859041000108,8421,EPP,Ativa
21794350000147,7665,Grande,Ativa
34820715000102,8390,ME,Inativa
84176250000177,5611,EPP,Inativa
58120394000100,7303,Grande,Ativa
73214065000103,7833,EPP,Ativa
19637452000107,6052,EPP,Inativa
29863745000166,9002,Média,Ativa
27143698000150,2066,ME,Ativa
67124590000135,6726,ME,Ativa
31952876000161,9945,EPP,Ativa
29381576000128,9967,ME,Ativa
12749805000111,1417,ME,Ativa
78923601000163,1825,EPP,Ativa
34120698000109,1412,ME,Ativa
24765190000104,8164,ME,Ativa
70643912000167,3504,EPP,Ativa
36154289000140,2122,EPP,Ativa
04529163000117,3143,ME,Inativa
54360972000116,4440,EPP,Ativa
65039217000150,3914,ME,Inativa
85197302000154,9787,Média,Ativa
12396584000145,1698,ME,Ativa
12547680000147,8400,Média,Ativa
48235761000159,1717,EPP,Ativa
14270856000191,6486,ME,Ativa
86142975000170,5491,ME,Ativa
90827163000135,8651,Grande,Ativa
67802459000180,2062,ME,Ativa
10325786000170,7541,EPP,Ativa
42709836000100,6334,EPP,Ativa
64321795000112,5846,ME,Ativa
78940231000172,3539,Média,Ativa
40817925000144,6293,Média,Ativa
39756108000144,7938,Média,Ativa
29607354000180,6541,Grande,Ativa
09756142000158,2365,Média,Inativa
01328769000104,5312,EPP,Ativa
48256793000130,8419,ME,Ativa
56930821000181,6301,Média,Ativa
75091624000160,5268,ME,Ativa
98706123000147,7619,Média,Ativa
50238469000131,4072,EPP,Ativa
54628390000178,1504,ME,Ativa
67831950000139,1823,EPP,Ativa
49203756000127,3105,ME,Inativa
02178693000132,2852,ME,Ativa
24608197000104,6348,ME,Ativa
40285937000175,7190,EPP,Ativa
48976510000125,4486,Grande,Ativa
96471528000118,4330,Grande,Ativa
64830257000153,2353,Grande,Ativa
06723891000190,8575,EPP,Ativa
85309127000140,7819,EPP,Ativa
40785169000119,1539,ME,Inativa
91738064000140,4775,EPP,Ativa
38701495000159,6320,ME,Ativa
87610945000103,3779,ME,Ativa
42716398000107,8714,Média,Inativa
80631479000101,1255,EPP,Inativa
